SITE_SOURCE_ID;SITE_NAME;WEB_IMAGES;IMAGE_COUNT;SOURCE_PDFS
drive-26ed0f10dc47;Gua Liang Ara Raya;/iiif/manifests/sites/drive-26ed0f10dc47.json;1;Borneo_Menyingkap_gua_prasejarah.pdf
drive-4861f4e92869;Gua Liang Beraneh;/iiif/manifests/sites/drive-4861f4e92869.json;1;Borneo_Menyingkap_gua_prasejarah.pdf
drive-e3df36544ca9;Gua Liang Ikop;/iiif/manifests/sites/drive-e3df36544ca9.json;1;Borneo_Menyingkap_gua_prasejarah.pdf
drive-9fc71b19727f;Gua Lompoa Gua Lompoa;/iiif/manifests/sites/drive-9fc71b19727f.json;3;document (2).pdf
drive-0de92c30d91f;Gua Ma;/iiif/manifests/sites/drive-0de92c30d91f.json;2;Borneo_Menyingkap_gua_prasejarah.pdf
drive-fdd19326903a;Gua Maarewu;/iiif/manifests/sites/drive-fdd19326903a.json;3;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-b59a62e43695;Gua Maarewu. Perahu-perahu;/iiif/manifests/sites/drive-b59a62e43695.json;3;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
drive-5886593617a5;Gua Macan Java Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-5129e86c1d51;Gua Makpan Tooth X;;0;
drive-ed3fa10ad0d4;Gua Makpan. Diagonal;/iiif/manifests/sites/drive-ed3fa10ad0d4.json;2;GuaMapkan_Alor.pdf | Holocene_BurialPractice_AlorIsland.pdf
drive-5726fbc02cfd;Gua Makpan. Table;/iiif/manifests/sites/drive-5726fbc02cfd.json;2;GuaMapkan_Alor.pdf | Holocene_BurialPractice_AlorIsland.pdf
drive-a12055f80e59;Gua Manaf Sanana;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-31f1fbb2728d;Gua Mardua Ada;/iiif/manifests/sites/drive-31f1fbb2728d.json;2;Borneo_Menyingkap_gua_prasejarah.pdf
drive-f8c6cfab5577;Gua Masri I Setelah;/iiif/manifests/sites/drive-f8c6cfab5577.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-3b8f0973c10a;Gua Masri II Gua;/iiif/manifests/sites/drive-3b8f0973c10a.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-80f468893f03;Gua Masri II. Corak;/iiif/manifests/sites/drive-80f468893f03.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-e978a209a817;Gua Masri II. Tambahan;/iiif/manifests/sites/drive-e978a209a817.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-7de3bad68566;Gua Men;/iiif/manifests/sites/drive-7de3bad68566.json;1;Borneo_Menyingkap_gua_prasejarah.pdf
drive-49914a11b8a8;Gua Metanduno Gua Metanduno;/iiif/manifests/sites/drive-49914a11b8a8.json;2;StencilsBoatsMunaIsland.pdf | archaeologysulawesi.pdf
drive-a2db3ffa0678;Gua Mon;/iiif/manifests/sites/drive-a2db3ffa0678.json;2;Borneo_Menyingkap_gua_prasejarah.pdf
drive-c2d903d6f139;Gua Nempo;;0;PleistoceneHSapSulawesi.pdf | homoSap_SSul.pdf
drive-634bc1bd8b4b;Gua New- Brit;/iiif/manifests/sites/drive-634bc1bd8b4b.json;2;Borneo_Menyingkap_gua_prasejarah.pdf
drive-f6eaeaa34d30;Gua Niah. De;/iiif/manifests/sites/drive-f6eaeaa34d30.json;3;Borneo_Menyingkap_gua_prasejarah.pdf
drive-9762664cdb6a;Gua Pamali C Deposit;;0;Maluku_Babar_Wetang.pdf
drive-a9dbb3a94f2e;Gua Panapasyem;;0;
drive-f9f3f2f13887;Gua Pandan Sumatra Radiocarbon;;0;2020KaharudinetalIndoCaves.pdf | ListCavesRockshelters.pdf
drive-db83c1852221;Gua Parema;;0;
drive-76c513e5fba1;Gua Parema I;;0;7. Jurnal Papua Vol 4 No 2 Nov 2012.pdf
drive-1183c5eba114;Gua Pari;/iiif/manifests/sites/drive-1183c5eba114.json;1;AcehCaves.pdf | GuaMabitce_Hoabinh_Sumatra.pdf
drive-3eb0adab2adf;Gua Pasca-Plestosen. Benita Penelitian Arkeologi;;0;GuaMapkan_Alor.pdf | Holocene_BurialPractice_AlorIsland.pdf
drive-58e7b87d1658;Gua Pawon Analisis;;0;Warisan Budaya Maritim Nusantara by Supratikno Rahardjo, Nies Anggraeni, Titi Surti Nastiti, Wiwin Djuwita Ramelan (z-lib.org).pdf
