SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS
IPAD_933;Leang Barattedong;Maros-Pangkep | South Sulawesi;;4326;119.686667;-4.980278;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;Hand stencils and images of boars as well as stone tools fragments and molluscan shells were found in this site. Six out of the 10 hand stencils were identifiable which were drawn on the left and right walls of this cave.
IPAD_936;Ellu Loang;Maros-Pangkep | South Sulawesi;;4326;119.695;-4.968611;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The cave has two chambers, namely Chamber A measuring 4 meters in length, 12 meters in width, and 10 meters in height; and Chamber B which is 5 meters long, 3 meters wide, and 2 meters high. Hand stencils and a boar images as well as stone tools fragments and molluscan shells were found in this site. However, only eight of the hand stencil images were recognizable, which were located in a group of images on the front wall of Chamber B, with a distance of 1 meter from the cave mouth and 2 meters in height from the cave floor.
IPAD_937;Leang Minrallenge;Maros-Pangkep | South Sulawesi;;4326;119.686667;-4.638056;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The cave mouth is 4 meters in length, 30 meters in width and 15 meters height; while the inner chamber (Chamber A) has a dimension of 8 meters long, 40 meters wide and 3 meters high. Hand stencil as well as stone tools fragments and molluscan shells were discovered in this cave. Meanwhile, a total of 20 hand stencil images located in Chamber A and B were identifiable. However, most of the hand stencil images in Chamber A had deteriorated, and only 5 images were identifiable while the hand stencil images located in Chamber B were relatively in good condition.
IPAD_358;Leang Bawię;Maros-Pangkep | South Sulawesi;;4326;119.602833;-4.847361;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_360;Leang Bembe;Maros-Pangkep | South Sulawesi;;4326;119.653611;-4.999722;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_361;Leang Boddong;Maros-Pangkep | South Sulawesi;;4326;119.642778;-4.994444;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_362;Leang Botto;Maros-Pangkep | South Sulawesi;;4326;119.639472;-4.951778;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_363;Leang Burung I, II;Maros-Pangkep | South Sulawesi;;4326;119.666111;-5.002222;;No;Documented;Not specified;-37354;-4655;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;Mulvaney and Soejono, Pasqua 1995, Pasqua and Bulbeck 1998, Chapman 1981, Chapman 1986:78 81, Di Lello 1997:80-83, Bulbeck 1992, Bulbeck 1996-97:1026 1047, Simons 1997:76 86 103;Leang Burung 1 hosted the major excavation by the Australian-Indonesian Archaeological Expedition to South Sulawesi (Mulvaney and Soejono). Three layers are recognized: a white rubbly layer, restricted to the interior of the shelter, beneath it, a gray zone laced with shelly lenses, and a brown sand that constituted the basal deposit of Trench A inside the shelter, and about half of the excavated deposits of Trench B outside of the shelter. The single charcoal date from Trench A (near the base of the gray zone) dates to 2360-3460 b.p., and the two-sigma ranges of the three radiocarbon dates from the brown sand in Trench B all overlap at 4650-4830 b.p. (Table 3). Hence, the transition from the brown sand to the overlying gray zone would date between 3500 and 4500 b.p. The site was excavated in approximately 10-cm-deep spits, which often dissect the complexly shaped stratigraphic layers. The resulting uncertainty in the exact stratigraphic provenance of certain excavated materials has had to be accommodated in the site's interpretation (Pasqua 1995, Pasqua and Bulbeck 1998). Most of the Toalean lithics from Trench B lay near the junction of the gray and brown zones, above the radiocarbon-dated materials (Pasqua and Bulbeck 1998). This observation suggests a maximum age of around 4700 b.p., while the near absence of pottery, restricted to eight sherds, suggests a minimum age of around 3500 b.p. (see below). The formal tools are dominated by points, including 24 Maros points, 24 other stone points, and 19 bone points. Backed implements, namely 7 backed blades and a geometric microlith, are less common (Chapman 1986:78, 81). Similar proportions of the same artifact types were recorded in spits 17-23 in Trench A, beneath that trench's 2360-3460 b.p. charcoal date: no pottery, six Maros points, two other stone points, less than seven bone points, and two backed blades (cf. Chapman 1981:50A, 103A). Both preceramic Toalean assemblages, with their prominence of Maros and other stone points, would appear to correspond to Van Heekeren's assemblage at Leang Pattae immediately beneath the earthenware sherds. Spits 1-16 in Trench A, above the 2360-3460 b.p. date, contained a ceramic Toalean assemblage with 963 pot sherds, 57 miscellaneous stone points, 51 backed blades, 52 geometric microliths, but only 7 Maros points and no more than 7 bone points (cf. Chapman 1981:50A, 103A, 1986:78, 81). Thus, production of Maros points seems to have dwindled at Leang Burung 1 after the introduction of pottery, even though the manufacture of other stone points and backed implements persisted, as in the ceramic layers at Leang Karassak. Another similarity between the ceramic Toalean assemblages at Leang Burung 1 and Leang Karassak is the lack of evidence for shell artifacts, in contrast to the utilized bivalve fragments recovered from Trench B at Leang Burung 1 (Simons 1997:76, 86, 103). Spits 1-16 in Trench A also yielded abundant fragments of human bone from secondary burials. The burials were probably not associated with the trench's plain pottery, whose classification as cooking vessels and other utilitarian wares (Chapman 1981:109) would make them unlikely grave goods. However, the burials may well be associated with the piece of corroded iron and the few decorated sherds in the trench, as well as the deposit's rampant disturbance in spits 1-16 (Di Lello 1997:80-83). The three glazed monochrome sherds in the uppermost spits could represent mortuary offerings dating to approximately 700 b.p. (Bulbeck 1996-97:1026, 1047). To judge from the five determinations on collagen and apatite fractions shown in Table 3 (Bulbeck 1992), the burials probably occurred very approximately between 1000 and 2000 b.p., and would all relate to a late use of the interior of Leang Burung 1 as a burial cave, post-dating its period of habitation. | Hand stencil images as well as stone tools fragments and molluscan shells were found in this site. Only 10 hand stencil images were identifiable as the other images have already deteriorated and these images, which are categorized in Group I are positioned on the front ceiling and on the right front walls in Chamber A of this cave.
IPAD_934;Leang Burung V;Maros-Pangkep | South Sulawesi;;4326;119.666111;-5.002222;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The cave mouth is 35 meters wide and 5 meters high and has one chamber (Chamber A) with a dimension of 5 meters long, 30 meters wide and 4 meters high. Hand stencil images as well as stone tools fragments and molluscan shells were found in this cave. Most of the hand stencils have deteriorated, and only three images were recognizable however, the images were not subject for further analysis. These rock art images were positioned on the front ceiling of the cave, two meters from the cave mouth and 3 meters in height from the cave floor.
IPAD_935;Leang Burung VII;Maros-Pangkep | South Sulawesi;;4326;119.666111;-5.002222;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The cave mouth is 12 meters in width and 4 meters in height; and has one chamber (Chamber A) with a dimension of 5 meters long, 30 meters wide and 4 meters high. Hand stencil images as well as stone tools fragments and molluscan shells were discovered in this cave. Several hand stencil images have deteriorated, and only seven images were identifiable. These drawings were positioned in two groups on the front ceiling of the cave.
IPAD_364;Leang Bulu Kamase;Maros-Pangkep | South Sulawesi;;4326;119.657389;-4.959389;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;The cave mouth is 50 meters in width and 3 meters in height; and has one chamber (Chamber A) with a dimension of 8 meters long, 40 meters wide and 3 meters high. Hand stencil and animal images as well as stone tools fragments and molluscan shells were found in this cave. Several hand stencil images have deteriorated, and only nine images were observable that were scattered in the front and center ceiling in Chamber A of the cave.
IPAD_365;Leang Tengngae;Maros-Pangkep | South Sulawesi;;4326;119.655806;-4.962556;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_367;Leang Bungaeja;Maros-Pangkep | South Sulawesi;;4326;119.646667;-4.955;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_368;Leang Bulubatua;Maros-Pangkep | South Sulawesi;;4326;119.64;-4.991667;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_369;Leang Cabbu;Maros-Pangkep | South Sulawesi;;4326;119.643889;-4.998056;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_370;Leang Canggoreng;Maros-Pangkep | South Sulawesi;;4326;119.640278;-4.998056;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;
IPAD_371;Leang Jarie;Maros-Pangkep | South Sulawesi;;4326;119.692778;-5.031111;;No;Documented;Not specified;-39990;-39350;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;This cave has two chambers, namely Chamber A, measuring 6 meters in length, 20 meters width, and 8 meters in height; and Chamber B which is 10 meters long, 4 meters wide, and 6 meters high. Hand stencil images as well as stone tools fragments and molluscan shells were found in this site. However, only 17 of the hand stencil images were still recognizable as the other images had deteriorated that were drawn both in Chamber A and B. The hand stencil images in Chamber A consisted of 10 images, which were scattered on the right front wall and on the front ceiling of the cave.
IPAD_372;Leang Jing;Maros-Pangkep | South Sulawesi;;4326;119.649528;-4.990889;;No;Documented;Not specified;Undefined;Undefined;Stationary Structures;Rock art site / Petroglyph / Pictograph / Hand stencil;;;;No;;This cave has one chamber (Chamber A) with a dimension of 16 meters long, 3 meters wide and 2.5 meters high. In this cave there were images of hand stencils and a vague drawing of a human head as well as stone tools fragments and molluscan shells that were found in this cave. Several hand stencils have deteriorated, however, 30 images were identifiable which were drawn in a group of images 5 meters long. This group of images were located in the center left wall in Chamber A, ranging from 9 to 14 meters from the cave mouth and 1.5 meters in height from the cave floor.
