IDArkeoGIS;CARAC_NAME;CARAC_LVL1;CARAC_LVL2;CARAC_LVL3;CARAC_LVL4;IdArk;IdPactols;IdAat
418;Production;Métal;Forge;Argent;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
419;Production;Métal;Forge;Argent;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
420;Production;Métal;Forge;Bronze;;http://ark.frantiq.fr/ark:/26678/pcrtjzKlry0LZi;13652;http://vocab.getty.edu/page/aat/300010957
421;Production;Métal;Forge;Bronze;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
422;Production;Métal;Forge;Bronze;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
423;Production;Métal;Forge;Or;;http://ark.frantiq.fr/ark:/26678/pcrtuihSl3eSnW;15995;http://vocab.getty.edu/page/aat/300011021
424;Production;Métal;Forge;Or;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
425;Production;Métal;Forge;Or;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
426;Production;Métal;Forge;Cuivre;;http://ark.frantiq.fr/ark:/26678/pcrt16pnvNar4g;14200;http://vocab.getty.edu/page/aat/300011020
427;Production;Métal;Forge;Cuivre;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
428;Production;Métal;Forge;Cuivre;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
429;Production;Métal;Forge;Autres;;;;
430;Production;Métal;Forge;Autres;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
431;Production;Métal;Forge;Autres;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
1895;Production;Métal;Fonderie;;;https://ark.frantiq.fr/ark:/26678/pcrtA40egcJDkz;14788;http://vocab.getty.edu/page/aat/300054038
1896;Production;Métal;Fonderie;Plomb;;https://ark.frantiq.fr/ark:/26678/pcrtEpGlZykUTy;16297;http://vocab.getty.edu/page/aat/300011022
432;Production;Métal;Atelier monétaire;;;http://ark.frantiq.fr/ark:/26678/pcrteoqGpMvXlj;13460;http://vocab.getty.edu/page/aat/300006031
433;Production;Métal;Atelier monétaire;Fer;;http://ark.frantiq.fr/ark:/26678/pcrtJWWucnutA0;14726;http://vocab.getty.edu/page/aat/300011002
434;Production;Métal;Atelier monétaire;Fer;Local;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
435;Production;Métal;Atelier monétaire;Fer;Régional;https://ark.frantiq.fr/ark:/26678/pcrthOtrQhBIUG;13991;http://vocab.getty.edu/page/aat/300061886
436;Production;Métal;Atelier monétaire;Argent;;http://ark.frantiq.fr/ark:/26678/pcrtcWoSlbWLE0;13338;http://vocab.getty.edu/page/aat/300011029
