path,name,id,target_id,mime_type,resource_key,is_folder,is_pdf,size,modified_time,web_view_link
395-Article Text-985-1-10-20180327.pdf,395-Article Text-985-1-10-20180327.pdf,1lje3wr0cis8liFrcv7v61ZGAGgdE1E8j,1lje3wr0cis8liFrcv7v61ZGAGgdE1E8j,application/pdf,,no,yes,3215936,2024-04-04T07:43:38.000Z,https://drive.google.com/file/d/1lje3wr0cis8liFrcv7v61ZGAGgdE1E8j/view?usp=drivesdk
401-860-1-SM.pdf,401-860-1-SM.pdf,1pq4hIuVSdvwnMIc_vriNKWH7VC81lZW5,1pq4hIuVSdvwnMIc_vriNKWH7VC81lZW5,application/pdf,,no,yes,1371762,2024-04-22T04:52:18.000Z,https://drive.google.com/file/d/1pq4hIuVSdvwnMIc_vriNKWH7VC81lZW5/view?usp=drivesdk
426-Article Text-1636-6-10-20201211.pdf,426-Article Text-1636-6-10-20201211.pdf,1Pykt6Vl94toNzrskM46MOX3hB4Wxueph,1Pykt6Vl94toNzrskM46MOX3hB4Wxueph,application/pdf,,no,yes,3226009,2024-04-22T16:03:32.000Z,https://drive.google.com/file/d/1Pykt6Vl94toNzrskM46MOX3hB4Wxueph/view?usp=drivesdk
532-Article Text-1402-2-10-20190305.pdf,532-Article Text-1402-2-10-20190305.pdf,19u1gYxMPSDPKSt80wX7LMkpBhFqFjhJI,19u1gYxMPSDPKSt80wX7LMkpBhFqFjhJI,application/pdf,,no,yes,1249357,2024-10-02T04:32:19.000Z,https://drive.google.com/file/d/19u1gYxMPSDPKSt80wX7LMkpBhFqFjhJI/view?usp=drivesdk
580-Article Text-1359-2-10-20190711.pdf,580-Article Text-1359-2-10-20190711.pdf,1R1-BEj6p80PXUAwAXt-weFaAa15saHgK,1R1-BEj6p80PXUAwAXt-weFaAa15saHgK,application/pdf,,no,yes,726382,2024-09-05T02:46:36.000Z,https://drive.google.com/file/d/1R1-BEj6p80PXUAwAXt-weFaAa15saHgK/view?usp=drivesdk
594-Article Text-1601-1-10-20220304.pdf,594-Article Text-1601-1-10-20220304.pdf,1W64h9BrT4aVBlLrNhVdQNpIG_ZSrG8Yt,1W64h9BrT4aVBlLrNhVdQNpIG_ZSrG8Yt,application/pdf,,no,yes,1856107,2024-08-20T08:28:30.000Z,https://drive.google.com/file/d/1W64h9BrT4aVBlLrNhVdQNpIG_ZSrG8Yt/view?usp=drivesdk
820-Article Text-3790-2-10-20240708.pdf,820-Article Text-3790-2-10-20240708.pdf,134mVcV-uQmCJeYS0MvEL8Lmob3Ek0goL,134mVcV-uQmCJeYS0MvEL8Lmob3Ek0goL,application/pdf,,no,yes,3371890,2024-10-01T08:20:57.000Z,https://drive.google.com/file/d/134mVcV-uQmCJeYS0MvEL8Lmob3Ek0goL/view?usp=drivesdk
1431-Article Text-7111-2-10-20230212.pdf,1431-Article Text-7111-2-10-20230212.pdf,1iqECy0NDRETIDWa0Dums3MGqdchFJoOL,1iqECy0NDRETIDWa0Dums3MGqdchFJoOL,application/pdf,,no,yes,756319,2024-08-20T03:31:09.000Z,https://drive.google.com/file/d/1iqECy0NDRETIDWa0Dums3MGqdchFJoOL/view?usp=drivesdk
1683-Article Text-6076-1-10-20220825.pdf,1683-Article Text-6076-1-10-20220825.pdf,1xrQffaVa7AOYbTsJTWP3YJqKfFhRdaBQ,1xrQffaVa7AOYbTsJTWP3YJqKfFhRdaBQ,application/pdf,,no,yes,677561,2024-09-04T06:03:21.000Z,https://drive.google.com/file/d/1xrQffaVa7AOYbTsJTWP3YJqKfFhRdaBQ/view?usp=drivesdk
1887_3503873-Paper_Dusseldorp_Mining.pdf,1887_3503873-Paper_Dusseldorp_Mining.pdf,1lXr7WnURWmmpzDNAVV2G1mAjU5AsmBke,1lXr7WnURWmmpzDNAVV2G1mAjU5AsmBke,application/pdf,,no,yes,586919,2025-05-12T07:00:27.000Z,https://drive.google.com/file/d/1lXr7WnURWmmpzDNAVV2G1mAjU5AsmBke/view?usp=drivesdk
