site_name,doi,source_url
Liang Bua,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Liang Bua Cave,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Liang Datu,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Liang Gobel,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Liang Kabori,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Liang Kaung,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Liang Lemdubu,https://doi.org/10.1080/03122417.2013.11681961,https://doi.org/10.1080/03122417.2013.11681961
Gua Prasejarah,https://doi.org/10.1080/03122417.2015.11682042,https://doi.org/10.1080/03122417.2015.11682042
Gua Prasejarah Di Maros Pangkep,https://doi.org/10.1080/03122417.2015.11682042,https://doi.org/10.1080/03122417.2015.11682042
Gua Prasejarah Maros,https://doi.org/10.1080/03122417.2015.11682042,https://doi.org/10.1080/03122417.2015.11682042
Leang Bulu Sipong,https://doi.org/10.1080/03122417.2015.11682042,https://doi.org/10.1080/03122417.2015.11682042
Leang Prehistoric Park,https://doi.org/10.1080/03122417.2015.11682042,https://doi.org/10.1080/03122417.2015.11682042
Leang Tedongnge,https://doi.org/10.1080/03122417.2015.11682042,https://doi.org/10.1080/03122417.2015.11682042
Leang Tedongnge Color,https://doi.org/10.1080/03122417.2015.11682042,https://doi.org/10.1080/03122417.2015.11682042
Leang Tedongnge Leang Tedongnge,https://doi.org/10.1080/03122417.2015.11682042,https://doi.org/10.1080/03122417.2015.11682042
Leang Timpuseng,https://doi.org/10.1080/03122417.2015.11682042,https://doi.org/10.1080/03122417.2015.11682042
Goa Braholo,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Goa Topogaro,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Braholo,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Cha,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Cha Burials,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Gunung Runtuh,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Kajang,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Keboboh,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Makpan,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Pawon,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Peraling,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Teluk Kelawar,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Gua Tenkgorak,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Leang Burung,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Leang Lemdubu Cave Site,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Leang Panninge,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Leang Sakapao,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Leang Sarru,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Leang Sarru Rockshelter,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Leang Tedongnge,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Lene Hara Cave,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Liang Bua,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Liang Bua Cave,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Liang Jon,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Liang Lembudu,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Liang Lemdubu,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Liang Nabulei Lisa,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Liang Tebo,https://doi.org/10.1080/03122417.2017.1408544,https://doi.org/10.1080/03122417.2017.1408544
Goa Braholo,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Goa Topogaro,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Braholo,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Cha,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Cha Burials,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Gunung Runtuh,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Kajang,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Keboboh,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Makpan,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Pawon,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Peraling,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Teluk Kelawar,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Gua Tenkgorak,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Leang Burung,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Leang Lemdubu Cave Site,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Leang Panninge,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Leang Sakapao,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Leang Sarru,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Leang Sarru Rockshelter,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Leang Tedongnge,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Lene Hara Cave,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Liang Bua,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Liang Bua Cave,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Liang Jon,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Liang Lembudu,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Liang Lemdubu,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Liang Nabulei Lisa,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Liang Tebo,https://doi.org/10.1080/03122417.2017.1408545,https://doi.org/10.1080/03122417.2017.1408545
Leang Bulu Karampung,https://doi.org/10.1080/03122417.2018.1509541,https://doi.org/10.1080/03122417.2018.1509541
Leang Burung,https://doi.org/10.1080/03122417.2018.1509541,https://doi.org/10.1080/03122417.2018.1509541
Leang Jarie,https://doi.org/10.1080/03122417.2018.1509541,https://doi.org/10.1080/03122417.2018.1509541
Leang Kado,https://doi.org/10.1080/03122417.2018.1509541,https://doi.org/10.1080/03122417.2018.1509541
Leang Prehistoric Park,https://doi.org/10.1080/03122417.2018.1509541,https://doi.org/10.1080/03122417.2018.1509541
Leang Rakkoe,https://doi.org/10.1080/03122417.2018.1509541,https://doi.org/10.1080/03122417.2018.1509541
Leang Sakapao,https://doi.org/10.1080/03122417.2018.1509541,https://doi.org/10.1080/03122417.2018.1509541
Leang Paninge,https://doi.org/10.1080/03122417.2021.2007600,https://doi.org/10.1080/03122417.2021.2007600
Gua Andomo,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Babi,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Braholo,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Bukit Chawas,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Cha,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Cha Malaysia Hoabinhian,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Gunung Runtuh,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Lampetia,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Lampetia Certainly,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Lawa,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Pawon,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Peraling,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Sambagowala,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Sireh,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Leang Balangingi,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Leang Buidane,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Leang Codong,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Leang Paja,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Liang Abu,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Liang Bua,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Liang Bua Cave,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Liang Gobel,https://doi.org/10.1080/10106049209354385,https://doi.org/10.1080/10106049209354385
Gua Andomo,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Babi,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Braholo,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Bukit Chawas,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Cha,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Cha Malaysia Hoabinhian,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Gunung Runtuh,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Lampetia,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Lampetia Certainly,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Lawa,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Pawon,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Peraling,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Sambagowala,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Sireh,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Leang Balangingi,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Leang Buidane,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Leang Codong,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Leang Paja,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Liang Abu,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Liang Bua,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Liang Bua Cave,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Liang Gobel,https://doi.org/10.1080/10635150590950317,https://doi.org/10.1080/10635150590950317
Gua Harimau,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Gua Jalamolo,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Gua Nempong,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Gua Paniki,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Gua Siti Na,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Gua Siti Nafisah,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Gua Siti Nafisah A,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
Gua Siti Nafisah Cave,https://doi.org/10.1080/13235818.2017.1420397,https://doi.org/10.1080/13235818.2017.1420397
