SITE_SOURCE_ID;SITE_NAME;LOCALISATION;GEONAME_ID;PROJECTION_SYSTEM;LONGITUDE;LATITUDE;ALTITUDE;CITY_CENTROID;STATE_OF_KNOWLEDGE;OCCUPATION;STARTING_PERIOD;ENDING_PERIOD;MAIN_CHARAC;CHARAC_LVL1;CHARAC_LVL2;CHARAC_LVL3;CHARAC_LVL4;CHARAC_EXP;BIBLIOGRAPHY;COMMENTS;WEB_IMAGES
40c855fd-2f5a-40a9-9bf5-29c413c0236c;Sabbang Loang;South Sulawesi | Sassa, Baebunta, North Luwu Regency, South Sulawesi 92965, Indonesia;;4326;120.246278;-2.595306;;No;Not documented;Not specified;-2500;500;Realestate;Settlement;;;;No;Caldwell, I. (2000). Land of Iron: The Historical Archeology of Luwu and the Cenrana Valley. Centre for Southeast Asian Studies, The University of Hull.;Description: The densest archaeological remains have been recovered at the far south of the site, west of the present-day Sabbang Loang Islamic cemetery, immediately overlooking the northern bank of the Rongkong river. Here Willems excavated a cluster of 11 massive burial jars. In the soil covering the jars he recovered iron spearheads, barkcloth beaters, mortars, and earthenware sherds. OXIS’ excavations in the vicinity recovered fragments of several burial jars, 191 flaked stone artifacts, an iron spearhead, various other iron fragments, two polished stone artifacts resembling a pick and a prong, a phallus-shaped river boulder, and a large Indo-Pacific glass bead. A consistent series of radiocarbon dates places the main phase of this occupation in the early centuries AD | Keywords: EMP Luwu Sulawesi | Sub-cultural Period: Palaeometallic;
c62a4f29-e73b-4eaf-a667-56f368b5e880;Gua Baiya;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep;;4326;119.599444;-4.840556;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Baiya;
3998177c-888b-4052-b469-7b75e08e76e9;Gua Batang Lamara;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Sapiria;;4326;119.595556;-4.848889;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Batang Lamara;
34eec858-82f0-4a42-8f04-30f281af1bc7;Gua Bujung;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep;;4326;119.6;-4.84;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Bujung;
ec9d3428-2981-4f78-8d7f-7bf22e0b93da;Gua Bulu Ribba;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Sapiria;;4326;119.594444;-4.841667;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Bulu Ribba;
cf3d8a7f-5ffb-45bc-ad9f-b2d2017b0e3b;Gua Caddia;South Sulawesi | Jl. Leangkassi, Biraeng, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614 | Maros-Pangkep,Kassi;;4326;119.584444;-4.831667;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Caddia;
a694ea1b-8079-4ff0-ae17-7895989fdc7f;Gua Camming Kana;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Sapiria;;4326;119.593333;-4.841944;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Cammingkana;
66f07aad-1692-4f99-be9b-a99522bf6b90;Gua Carawaii;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep;;4326;119.592222;-4.843333;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Carawali;
619cf9ba-54b0-4b12-a3b7-d742705544c7;Gua Jempang;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep;;4326;119.593056;-4.835833;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Jempang;
c743263a-12ff-4599-90ed-a641214981e7;Gua Kajuara;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Kassi;;4326;119.596389;-4.836667;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Description: karst hill with lowland forest, in front of open field and marshland area with nipa, near spring and river | Alternative_Name: Leang Kajuara;
98291195-46f5-4b8c-bf12-7daa60989dff;Gua Kassi;South Sulawesi | 5H7V+62C, Jl. Leangkassi, Biraeng, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614 | Maros-Pangkep,Kassi;;4326;119.594167;-4.836111;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Description: karst hill with lowland forest, in front of open field and marshland area with nipa, near spring and river | Alternative_Name: Leang Kassi;
e4c1d6db-2f48-4574-abf5-a0dba70d5512;Gua Lambuto;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Kassi;;4326;119.588333;-4.834167;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Lambuto;
197c8e95-b57f-47cd-844c-217330e4783f;Gua Lamperajang;South Sulawesi | Kabba, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep;;4326;119.598333;-4.856667;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Lamperajang;
cfb3f519-c68f-454a-acb9-140dca658895;Gua Lesang;South Sulawesi | Jl. Leangkassi, Minasa Tene, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614 | Maros-Pangkep,Sakapa;;4326;119.5825;-4.830556;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Description: karst hill with lowland forest, in front of open field and marshland area with nipa, with spring at its feet. | Alternative_Name: Leang Lesang;
fdfd25e3-a006-465d-9584-e38636a182e5;Gua Limbubuka;South Sulawesi | Jl. Leangkassi, Minasa Tene, Kec. Minasatene, Kabupaten Pangkajene Dan Kepulauan, Sulawesi Selatan 90614 | Maros-Pangkep;;4326;119.582222;-4.830556;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Limbubuka;
fd9f9f2a-06ff-49b3-a1aa-379967f80ac6;Gua Lompoa;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Kassi;;4326;119.593056;-4.835556;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Lompoa;
db6551f9-a756-45df-b6e4-e12752da6e6f;Gua Pattenungan;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Kassi;;4326;119.596667;-4.836944;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Pattenungan;
b662159a-ac7e-4e17-9d1c-9e972b53a4dd;Gua Sakapao;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Sakapa;;4326;119.602222;-4.834167;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Sakapao;
824fb9d5-3058-40e8-9991-d5bb07156218;Gua Sapiria;South Sulawesi | Biraeng, Minasatene, Pangkajene and Islands Regency, South Sulawesi | Maros-Pangkep,Sapiria;;4326;119.597222;-4.849722;;No;Not documented;Not specified;Undefined;Undefined;Realestate;Ritual;;;;No;;Alternative_Name: Leang Sapiria;
