filename,pdf_path,pages,text_chars,ocr_confidence,date_processed
Bahasa Karo by Henry Guntur Tarigan  Djago Tarigan (z-lib.org),data/google-drive-pdfs/Bahasa Karo by Henry Guntur Tarigan  Djago Tarigan (z-lib.org).pdf,228,266162,0.00,2026-03-25T20:17:49.560676
Balang Metti SiteLate Toalean Technology,data/google-drive-pdfs/Balang Metti SiteLate Toalean Technology.pdf,16,39641,0.00,2026-03-25T20:17:49.560980
BatuSindu_Natuna_Neolithic,/Users/cataivancov/IdeaProjects/arke-platform/data/google-drive-pdfs/BatuSindu_Natuna_Neolithic.pdf,11,22691,82.91,2026-03-25T20:17:49.561219
BatujayaAzbestos,data/google-drive-pdfs/BatujayaAzbestos.pdf,19,44906,0.00,2026-03-25T20:17:49.561604
Beads Kalimantan,data/google-drive-pdfs/Beads Kalimantan.pdf,13,60544,0.00,2026-03-25T20:17:49.561902
Bellwood_Prehistory,data/google-drive-pdfs/Bellwood_Prehistory.pdf,445,16247,0.00,2026-03-25T20:17:49.562152
Berita Penelitian Arkeologi No.17.,data/google-drive-pdfs/Berita Penelitian Arkeologi No.17..pdf,31,88394,0.00,2026-03-25T20:17:49.562559
Berkenalan dengan Sasambo by Bunyamin (z-lib.org),data/google-drive-pdfs/Berkenalan dengan Sasambo by Bunyamin (z-lib.org).pdf,66,43278,0.00,2026-03-25T20:17:49.562865
Beyond_the_Java_Sea_Art_of_Indonesias_Ou,data/google-drive-pdfs/Beyond_the_Java_Sea_Art_of_Indonesias_Ou.pdf,321,676345,0.00,2026-03-25T20:17:49.565269
Bietsetal.2021-ColloqueLaPrhistoiresouslestropiques,data/google-drive-pdfs/Bietsetal.2021-ColloqueLaPrhistoiresouslestropiques.pdf,4,9013,0.00,2026-03-25T20:17:49.565526
"Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org)","data/google-drive-pdfs/Bioarchaeology of Southeast Asia (Marc Oxenham, Nancy Tayles) (z-lib.org).pdf",369,823165,0.00,2026-03-25T20:17:49.568237
BioculturalHistoryNusantara,data/google-drive-pdfs/BioculturalHistoryNusantara.pdf,16,48889,0.00,2026-03-25T20:17:49.568633
Bird_2005_QSR_sundaland,data/google-drive-pdfs/Bird_2005_QSR_sundaland.pdf,16,72833,0.00,2026-03-25T20:17:49.569128
Boesl et al. - 2025 - A submerged landscape at the entrance of Sahul,data/google-drive-pdfs/Boesl et al. - 2025 - A submerged landscape at the entrance of Sahul.pdf,25,71191,0.00,2026-03-25T20:17:49.569481
Bomo-Teleng_StoneAdzeWorkshop,data/google-drive-pdfs/Bomo-Teleng_StoneAdzeWorkshop.pdf,162,230161,0.00,2026-03-25T20:17:49.570273
Bondowoso1,data/google-drive-pdfs/Bondowoso1.pdf,13,24890,0.00,2026-03-25T20:17:49.570519
BondowosoArtefacts,data/google-drive-pdfs/BondowosoArtefacts.pdf,14,37150,0.00,2026-03-25T20:17:49.570772
BorneoRockArt,data/google-drive-pdfs/BorneoRockArt.pdf,18,31874,0.00,2026-03-25T20:17:49.571049
Borneo_Menyingkap_gua_prasejarah,data/google-drive-pdfs/Borneo_Menyingkap_gua_prasejarah.pdf,180,318693,0.00,2026-03-25T20:17:49.571994
Brain shape in human microcephalicsandHomo floresiensis,data/google-drive-pdfs/Brain shape in human microcephalicsandHomo floresiensis.pdf,6,39675,0.00,2026-03-25T20:17:49.572295
Broken painting in the prehistoric cave and,data/google-drive-pdfs/Broken painting in the prehistoric cave and.pdf,10,26669,0.00,2026-03-25T20:17:49.572514
Bronze-Iron Age of Indonesia,data/google-drive-pdfs/Bronze-Iron Age of Indonesia.pdf,164,253154,0.00,2026-03-25T20:17:49.573338
BronzeArt_Bali,data/google-drive-pdfs/BronzeArt_Bali.pdf,92,156265,0.00,2026-03-25T20:17:49.574092
Brumm_MoviusLine_Paleolithic,data/google-drive-pdfs/Brumm_MoviusLine_Paleolithic.pdf,488,847351,0.00,2026-03-25T20:17:49.576482
BukitBangkai_Mesolithic,data/google-drive-pdfs/BukitBangkai_Mesolithic.pdf,7,34694,0.00,2026-03-25T20:17:49.576756
BuniPottery,data/google-drive-pdfs/BuniPottery.pdf,1,0,0.00,2026-03-25T20:17:49.576900
BurialJarTradition,data/google-drive-pdfs/BurialJarTradition.pdf,25,79747,0.00,2026-03-25T20:17:49.577333
Burmese Crafts Past and Present by Sylvia Fraser-Lu (z-lib.org) (1),data/google-drive-pdfs/Burmese Crafts Past and Present by Sylvia Fraser-Lu (z-lib.org) (1).pdf,424,0,0.00,2026-03-25T20:17:49.577641
Butta Toa,data/google-drive-pdfs/Butta Toa.pdf,215,357810,0.00,2026-03-25T20:17:49.578755
CPAS 3 WEBINAR final akulturasi 22062022_220620_222309,data/google-drive-pdfs/CPAS 3 WEBINAR final akulturasi 22062022_220620_222309.pdf,62,11058,0.00,2026-03-25T20:17:49.578991
Caloetal.Antiquity2015,data/google-drive-pdfs/Caloetal.Antiquity2015.pdf,21,47290,0.00,2026-03-25T20:17:49.579377
Ceritera Rakyat Daerah Bengkulu by Tim Penyusun (z-lib.org),data/google-drive-pdfs/Ceritera Rakyat Daerah Bengkulu by Tim Penyusun (z-lib.org).pdf,136,229117,0.00,2026-03-25T20:17:49.580183
Chapter BACKGROUND_GnPadang_Yondri-2,data/google-drive-pdfs/Chapter BACKGROUND_GnPadang_Yondri-2.pdf,4,6968,0.00,2026-03-25T20:17:49.580367
Chapter BACKGROUND_GnPadang_Yondri,data/google-drive-pdfs/Chapter BACKGROUND_GnPadang_Yondri.pdf,3,6992,0.00,2026-03-25T20:17:49.580520
Cherry_Human-lithocase-pages-deleted-2,data/google-drive-pdfs/Cherry_Human-lithocase-pages-deleted-2.pdf,11,15308,0.00,2026-03-25T20:17:49.580713
Cherry_Human-lithocase-pages-deleted,data/google-drive-pdfs/Cherry_Human-lithocase-pages-deleted.pdf,11,15308,0.00,2026-03-25T20:17:49.580926
Cherry_Leppard_2015_World_Archaeology,data/google-drive-pdfs/Cherry_Leppard_2015_World_Archaeology.pdf,18,53062,0.00,2026-03-25T20:17:49.581226
ChineseBiDisk,data/google-drive-pdfs/ChineseBiDisk.pdf,21,51669,0.00,2026-03-25T20:17:49.581532
Climate Change in Prehistory The End of the Reign of Chaos (William James Burroughs) (z-lib.org),data/google-drive-pdfs/Climate Change in Prehistory The End of the Reign of Chaos (William James Burroughs) (z-lib.org).pdf,369,772471,0.00,2026-03-25T20:17:49.585826
Cornyetal.2016PrehseaExhibitionCatalogue,data/google-drive-pdfs/Cornyetal.2016PrehseaExhibitionCatalogue.pdf,7,741,0.00,2026-03-25T20:17:49.586027
CuciNegeriCustomaryLaw_Ambon,data/google-drive-pdfs/CuciNegeriCustomaryLaw_Ambon.pdf,13,37592,0.00,2026-03-25T20:17:49.586417
CuciNegriMaluku,data/google-drive-pdfs/CuciNegriMaluku.pdf,13,40018,0.00,2026-03-25T20:17:49.587045
CultureHistoryToaleanSSul,data/google-drive-pdfs/CultureHistoryToaleanSSul.pdf,39,120300,0.00,2026-03-25T20:17:49.587733
Dambu_Matti_Mamasa_Sulawesi,data/google-drive-pdfs/Dambu_Matti_Mamasa_Sulawesi.pdf,14,36918,0.00,2026-03-25T20:17:49.588080
Dayak Benuaq_Rituals_DongSon,data/google-drive-pdfs/Dayak Benuaq_Rituals_DongSon.pdf,7,19964,0.00,2026-03-25T20:17:49.588326
Dayak_Hornbill,data/google-drive-pdfs/Dayak_Hornbill.pdf,18,65723,0.00,2026-03-25T20:17:49.588682
DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands,data/google-drive-pdfs/DevelopmentofmarineandterrestrialresourceuseintheTalaudIslands.pdf,27,70658,0.00,2026-03-25T20:17:49.589067
DiangKaung_DiangBalu_Kalimantan_15000yrrockshelters,data/google-drive-pdfs/DiangKaung_DiangBalu_Kalimantan_15000yrrockshelters.pdf,13,51271,0.00,2026-03-25T20:17:49.589359
DiasporaMelanesiaNusantara,data/google-drive-pdfs/DiasporaMelanesiaNusantara.pdf,475,939941,0.00,2026-03-25T20:17:49.591970
Diaz_Astawikrama,data/google-drive-pdfs/Diaz_Astawikrama.pdf,17,5881,0.00,2026-03-25T20:17:49.592160
