candidate_type,dataset,SITE_SOURCE_ID_1,SITE_NAME_1,LONGITUDE_1,LATITUDE_1,SITE_SOURCE_ID_2,SITE_NAME_2,LONGITUDE_2,LATITUDE_2,notes
cross_dataset_same_coords,V3+V4,3ef250d8-03b0-4939-ab78-d41857430fe5,Golo Cave,129.3874452,-0.0071239,3ef250d8-03b0-4939-ab78-d41857430fe5, Golo Cave                         ,129.3874452,-0.0071239,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,e6038c86-c9cc-4551-97db-dfe504afd28d,Pedawa 1,115.01016,-8.2413,e6038c86-c9cc-4551-97db-dfe504afd28d, Pedawa 1                          ,115.01016,-8.2413,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,c5089353-8b2f-46b7-bbaa-38fea0c01d32,Pedawa 2,115.01928,-8.24195,c5089353-8b2f-46b7-bbaa-38fea0c01d32, Pedawa 2                          ,115.01928,-8.24195,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,ea233673-3102-41c1-a107-f64dc9fa16dd,Pedawa 3,115.04989,-8.23575,ea233673-3102-41c1-a107-f64dc9fa16dd, Pedawa 3                          ,115.04989,-8.23575,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,ea233673-3102-41c1-a107-f64dc9fa16dd,Pedawa 3,115.04989,-8.23575,2a16f0e1-8081-47bb-93d4-e8df25893b43, Pedawa 4                          ,115.04989,-8.23575,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,ea233673-3102-41c1-a107-f64dc9fa16dd,Pedawa 3,115.04989,-8.23575,18ab496a-1bf5-44ad-b041-87f2608a9d75, Pedawa 5                          ,115.04989,-8.23575,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,2a16f0e1-8081-47bb-93d4-e8df25893b43,Pedawa 4,115.04989,-8.23575,ea233673-3102-41c1-a107-f64dc9fa16dd, Pedawa 3                          ,115.04989,-8.23575,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,2a16f0e1-8081-47bb-93d4-e8df25893b43,Pedawa 4,115.04989,-8.23575,2a16f0e1-8081-47bb-93d4-e8df25893b43, Pedawa 4                          ,115.04989,-8.23575,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,2a16f0e1-8081-47bb-93d4-e8df25893b43,Pedawa 4,115.04989,-8.23575,18ab496a-1bf5-44ad-b041-87f2608a9d75, Pedawa 5                          ,115.04989,-8.23575,Same coordinates across datasets
cross_dataset_same_coords,V3+V4,18ab496a-1bf5-44ad-b041-87f2608a9d75,Pedawa 5,115.04989,-8.23575,ea233673-3102-41c1-a107-f64dc9fa16dd, Pedawa 3                          ,115.04989,-8.23575,Same coordinates across datasets
