SITE_SOURCE_ID;SITE_NAME;PDF_FILE;PAGE;IMAGE_NAME;IMAGE_IDENTIFIER;IMAGE_URL;WIDTH;HEIGHT;FORMAT;SCORE;REASONS;MANIFEST_URL
drive-6987cee3585a;Gua Sosoraweru;Fakfak_Papua_Sosoraweru.pdf;7;p007-02-gua-sosoraweru.png;drive-6987cee3585a/p007-02-gua-sosoraweru.png;/assets/drive-site-images/drive-6987cee3585a/p007-02-gua-sosoraweru.png;356;267;JPEG2000;22;site-name-on-page | site-mention-hits;/iiif/manifests/sites/drive-6987cee3585a.json
drive-7a2fc91f4ca0;Kria Cave;GoaTopogaro_Sulawesi_Holocene_BoneLithic.pdf;16;p016-01-kria-cave.jpg;drive-7a2fc91f4ca0/p016-01-kria-cave.jpg;/assets/drive-site-images/drive-7a2fc91f4ca0/p016-01-kria-cave.jpg;1835;1251;JPEG;40;site-name-on-page | indonesia-context | figure-photo-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-7a2fc91f4ca0.json
drive-39723c653bad;Gua Andarewa;AndarewaCave_Papua.pdf;3;p003-01-gua-andarewa.png;drive-39723c653bad/p003-01-gua-andarewa.png;/assets/drive-site-images/drive-39723c653bad/p003-01-gua-andarewa.png;1290;645;PNG;36;site-name-on-page | locality-context | indonesia-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-39723c653bad.json
drive-39723c653bad;Gua Andarewa;AndarewaCave_Papua.pdf;3;p003-02-gua-andarewa.jpg;drive-39723c653bad/p003-02-gua-andarewa.jpg;/assets/drive-site-images/drive-39723c653bad/p003-02-gua-andarewa.jpg;765;541;JPEG;33;site-name-on-page | locality-context | indonesia-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-39723c653bad.json
drive-39723c653bad;Gua Andarewa;AndarewaCave_Papua.pdf;7;p007-02-gua-andarewa.png;drive-39723c653bad/p007-02-gua-andarewa.png;/assets/drive-site-images/drive-39723c653bad/p007-02-gua-andarewa.png;749;150;JPEG2000;28;site-name-on-page | locality-context | indonesia-context | site-mention-hits;/iiif/manifests/sites/drive-39723c653bad.json
drive-39723c653bad;Gua Andarewa;AndarewaCave_Papua.pdf;7;p007-07-gua-andarewa.png;drive-39723c653bad/p007-07-gua-andarewa.png;/assets/drive-site-images/drive-39723c653bad/p007-07-gua-andarewa.png;251;149;JPEG2000;28;site-name-on-page | locality-context | indonesia-context | site-mention-hits;/iiif/manifests/sites/drive-39723c653bad.json
drive-39723c653bad;Gua Andarewa;AndarewaCave_Papua.pdf;7;p007-05-gua-andarewa.png;drive-39723c653bad/p007-05-gua-andarewa.png;/assets/drive-site-images/drive-39723c653bad/p007-05-gua-andarewa.png;691;127;JPEG2000;22;site-name-on-page | locality-context | indonesia-context | site-mention-hits | small-short-side;/iiif/manifests/sites/drive-39723c653bad.json
drive-39723c653bad;Gua Andarewa;AndarewaCave_Papua.pdf;7;p007-08-gua-andarewa.png;drive-39723c653bad/p007-08-gua-andarewa.png;/assets/drive-site-images/drive-39723c653bad/p007-08-gua-andarewa.png;304;134;JPEG2000;22;site-name-on-page | locality-context | indonesia-context | site-mention-hits | small-short-side;/iiif/manifests/sites/drive-39723c653bad.json
drive-6f1d4efca376;Gua Golo;DiasporaMelanesiaNusantara.pdf;98;p098-01-gua-golo.jpg;drive-6f1d4efca376/p098-01-gua-golo.jpg;/assets/drive-site-images/drive-6f1d4efca376/p098-01-gua-golo.jpg;1477;1105;JPEG;38;site-name-on-page | locality-context | indonesia-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-6f1d4efca376.json
drive-6f1d4efca376;Gua Golo;DiasporaMelanesiaNusantara.pdf;94;p094-02-gua-golo.jpg;drive-6f1d4efca376/p094-02-gua-golo.jpg;/assets/drive-site-images/drive-6f1d4efca376/p094-02-gua-golo.jpg;2556;1944;JPEG;36;site-name-on-page | locality-context | indonesia-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-6f1d4efca376.json
drive-6f1d4efca376;Gua Golo;DiasporaMelanesiaNusantara.pdf;96;p096-01-gua-golo.jpg;drive-6f1d4efca376/p096-01-gua-golo.jpg;/assets/drive-site-images/drive-6f1d4efca376/p096-01-gua-golo.jpg;722;806;JPEG;36;site-name-on-page | locality-context | indonesia-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-6f1d4efca376.json
drive-6f1d4efca376;Gua Golo;DiasporaMelanesiaNusantara.pdf;123;p123-01-gua-golo.png;drive-6f1d4efca376/p123-01-gua-golo.png;/assets/drive-site-images/drive-6f1d4efca376/p123-01-gua-golo.png;1084;461;PNG;35;site-name-on-page | locality-context | indonesia-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-6f1d4efca376.json
drive-6f1d4efca376;Gua Golo;DiasporaMelanesiaNusantara.pdf;96;p096-02-gua-golo.png;drive-6f1d4efca376/p096-02-gua-golo.png;/assets/drive-site-images/drive-6f1d4efca376/p096-02-gua-golo.png;602;467;PNG;33;site-name-on-page | locality-context | indonesia-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-6f1d4efca376.json
drive-6f1d4efca376;Gua Golo;DiasporaMelanesiaNusantara.pdf;97;p097-01-gua-golo.jpg;drive-6f1d4efca376/p097-01-gua-golo.jpg;/assets/drive-site-images/drive-6f1d4efca376/p097-01-gua-golo.jpg;472;359;JPEG;33;site-name-on-page | locality-context | indonesia-context | site-mention-hits | medium-image;/iiif/manifests/sites/drive-6f1d4efca376.json
drive-634ebe47d27d;Gua Mabitce;GuaMabitce_Hoabinh_Sumatra.pdf;4;p004-02-gua-mabitce.png;drive-634ebe47d27d/p004-02-gua-mabitce.png;/assets/drive-site-images/drive-634ebe47d27d/p004-02-gua-mabitce.png;1371;820;JPEG2000;36;site-name-on-page | locality-context | indonesia-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-634ebe47d27d.json
drive-634ebe47d27d;Gua Mabitce;GuaMabitce_Hoabinh_Sumatra.pdf;2;p002-01-gua-mabitce.png;drive-634ebe47d27d/p002-01-gua-mabitce.png;/assets/drive-site-images/drive-634ebe47d27d/p002-01-gua-mabitce.png;1258;888;JPEG2000;36;site-name-on-page | locality-context | indonesia-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-634ebe47d27d.json
drive-634ebe47d27d;Gua Mabitce;GuaMabitce_Hoabinh_Sumatra.pdf;4;p004-03-gua-mabitce.png;drive-634ebe47d27d/p004-03-gua-mabitce.png;/assets/drive-site-images/drive-634ebe47d27d/p004-03-gua-mabitce.png;1192;930;JPEG2000;36;site-name-on-page | locality-context | indonesia-context | site-mention-hits | large-image;/iiif/manifests/sites/drive-634ebe47d27d.json
